group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
insert_group,insert,,,,1366419700.0,ns,3
insert_group,insert,,,,1407930600.0,ns,3
insert_group,insert,,,,1406873100.0,ns,3
insert_group,insert,,,,1509089700.0,ns,3
insert_group,insert,,,,1435476500.0,ns,3
insert_group,insert,,,,1762157500.0,ns,3
insert_group,insert,,,,1318967500.0,ns,3
insert_group,insert,,,,1733597400.0,ns,3
insert_group,insert,,,,2081867900.0,ns,3
insert_group,insert,,,,2142628000.0,ns,3
insert_group,insert,,,,1541433400.0,ns,3
insert_group,insert,,,,1968141900.0,ns,3
insert_group,insert,,,,1679418100.0,ns,3
insert_group,insert,,,,1410147400.0,ns,3
insert_group,insert,,,,1538521200.0,ns,3
insert_group,insert,,,,1353899400.0,ns,3
insert_group,insert,,,,1310319400.0,ns,3
insert_group,insert,,,,1181734300.0,ns,3
insert_group,insert,,,,1225020700.0,ns,3
insert_group,insert,,,,1369443400.0,ns,3
insert_group,insert,,,,1441575700.0,ns,3
insert_group,insert,,,,1513930700.0,ns,3
insert_group,insert,,,,1418487100.0,ns,3
insert_group,insert,,,,1319050300.0,ns,3
insert_group,insert,,,,1310136900.0,ns,3
insert_group,insert,,,,1275820700.0,ns,3
insert_group,insert,,,,1280135200.0,ns,3
insert_group,insert,,,,1374813700.0,ns,3
insert_group,insert,,,,1269060800.0,ns,3
insert_group,insert,,,,1267882700.0,ns,3
insert_group,insert,,,,1295604200.0,ns,3
insert_group,insert,,,,1268562300.0,ns,3
insert_group,insert,,,,1324398200.0,ns,3
insert_group,insert,,,,1224515000.0,ns,3
insert_group,insert,,,,1263830900.0,ns,3
insert_group,insert,,,,1216552000.0,ns,3
insert_group,insert,,,,1159022500.0,ns,3
insert_group,insert,,,,1213288200.0,ns,3
insert_group,insert,,,,1313263100.0,ns,3
insert_group,insert,,,,1385525100.0,ns,3
insert_group,insert,,,,1190589000.0,ns,3
insert_group,insert,,,,1147446000.0,ns,3
insert_group,insert,,,,1136760700.0,ns,3
insert_group,insert,,,,1139721900.0,ns,3
insert_group,insert,,,,1124846300.0,ns,3
insert_group,insert,,,,1179179100.0,ns,3
insert_group,insert,,,,1166644200.0,ns,3
insert_group,insert,,,,1316006200.0,ns,3
insert_group,insert,,,,1241992200.0,ns,3
insert_group,insert,,,,1193002500.0,ns,3
insert_group,insert,,,,1134083300.0,ns,3
insert_group,insert,,,,1166937900.0,ns,3
insert_group,insert,,,,1162934500.0,ns,3
insert_group,insert,,,,1139687500.0,ns,3
insert_group,insert,,,,1133139600.0,ns,3
insert_group,insert,,,,1133226700.0,ns,3
insert_group,insert,,,,1157071200.0,ns,3
insert_group,insert,,,,1154325800.0,ns,3
insert_group,insert,,,,1166709800.0,ns,3
insert_group,insert,,,,1141315100.0,ns,3
insert_group,insert,,,,1142641300.0,ns,3
insert_group,insert,,,,1161238600.0,ns,3
insert_group,insert,,,,1153491900.0,ns,3
insert_group,insert,,,,1129868400.0,ns,3
insert_group,insert,,,,1138342900.0,ns,3
insert_group,insert,,,,1131224600.0,ns,3
insert_group,insert,,,,1141124100.0,ns,3
insert_group,insert,,,,1134413100.0,ns,3
insert_group,insert,,,,1151342300.0,ns,3
insert_group,insert,,,,1120973600.0,ns,3
insert_group,insert,,,,1133305200.0,ns,3
insert_group,insert,,,,1132261400.0,ns,3
insert_group,insert,,,,1139149800.0,ns,3
insert_group,insert,,,,1110804700.0,ns,3
insert_group,insert,,,,1127280900.0,ns,3
insert_group,insert,,,,1145706000.0,ns,3
insert_group,insert,,,,1128728400.0,ns,3
insert_group,insert,,,,1147203200.0,ns,3
insert_group,insert,,,,1179400300.0,ns,3
insert_group,insert,,,,1316455900.0,ns,3
insert_group,insert,,,,1167622200.0,ns,3
insert_group,insert,,,,1139484500.0,ns,3
insert_group,insert,,,,1244609300.0,ns,3
insert_group,insert,,,,1408681700.0,ns,3
insert_group,insert,,,,1413735300.0,ns,3
insert_group,insert,,,,1249857900.0,ns,3
insert_group,insert,,,,1158401200.0,ns,3
insert_group,insert,,,,1251799900.0,ns,3
insert_group,insert,,,,1256029800.0,ns,3
insert_group,insert,,,,1183855200.0,ns,3
insert_group,insert,,,,1192946700.0,ns,3
insert_group,insert,,,,1258321300.0,ns,3
insert_group,insert,,,,1242524900.0,ns,3
insert_group,insert,,,,1274888300.0,ns,3
insert_group,insert,,,,1236378400.0,ns,3
insert_group,insert,,,,1181239200.0,ns,3
insert_group,insert,,,,1228156200.0,ns,3
insert_group,insert,,,,1214023400.0,ns,3
insert_group,insert,,,,1296466500.0,ns,3
insert_group,insert,,,,1392777300.0,ns,3
